,KZl,KZl_lower,KZl_median,KZl_upper,end,fwh,fwh_lower,fwh_median,fwh_upper,key,label,mid,pi,pi2,pi2_lower,pi2_median,pi2_upper,pi_lower,pi_median,pi_upper,sites,start,tajima,tajima_lower,tajima_median,tajima_upper,theta_W,theta_W_lower,theta_W_median,theta_W_upper,xsi,xsi_lower,xsi_median,xsi_upper
86,-0.0243768013674,-0.0873941780378,-0.0267619367522,0.0386040091252,100000,0.00756475491839,0.00723395097965,0.00757484247529,0.00789287438441,d.99001-100000,real,99500,0.00745750672166,0.255478031514,0.24504786071,0.255751814949,0.266037644783,0.00724581587971,0.00745927716225,0.00767678071555,626494,99001,-0.00843325004132,-0.0707741565613,-0.00791120315178,0.0567806762819,0.00747699639831,0.00734707918408,0.00747554754081,0.0076003701308,0.752158381322,0.742236058025,0.752176459551,0.762421101797
87,0.0289558557928,-0.024937439204,0.0305636854263,0.0827020018497,75000,0.00737162520546,0.00710071181658,0.00736692136745,0.00765416821878,d.74001-75000,real,74500,0.00749875218116,0.249629676164,0.241102599056,0.249704192758,0.258251002008,0.00731712114953,0.00749912999842,0.00769671223911,913423,74001,0.0160459188269,-0.041347087406,0.0145004432933,0.0732028107972,0.00746174680706,0.0073663688028,0.00746411147017,0.00756310699156,0.748012602406,0.740185984101,0.747818644655,0.755954196735
88,-0.0225077932183,-0.0843721923142,-0.0211454392482,0.0441313084825,-83000,0.00760136861134,0.00726192855217,0.00759644509086,0.00793902391486,u.82001-83000,real,-82501,0.00750161653126,0.252927524572,0.243627963201,0.252722614575,0.261281721763,0.00729078588956,0.00750647406609,0.00770839364148,808512,-82001,-0.0131353816821,-0.0738320648923,-0.0115965695362,0.0437206486974,0.00753219600296,0.00742141915147,0.00753495584351,0.00764523944668,0.754944489708,0.74675871774,0.754532738496,0.76308766023
89,0.0073567019199,-0.0309957698525,0.0085837406697,0.0435412546536,36000,0.00729725446869,0.00710290683574,0.00729414320138,0.00749386337531,d.35001-36000,real,35500,0.0073292196426,0.248459765257,0.242670722656,0.248580011168,0.253931381769,0.00721466217428,0.00733031513139,0.00745444299301,2008549,35001,-0.0245335597143,-0.0595939730843,-0.0241403651572,0.010722290409,0.00738521556107,0.00731798503933,0.00738568175405,0.00745840208122,0.752563431439,0.746971432785,0.752477132137,0.757674465728
90,-0.0304067658136,-0.0750451390623,-0.0304603040234,0.0142988280127,60000,0.00763390261873,0.00738609462577,0.0076311911178,0.00790573196455,d.59001-60000,real,59500,0.00750019187314,0.252442130459,0.245698339653,0.252614171062,0.259820113683,0.00733033006363,0.00749860703727,0.00767616453374,1226208,59001,0.0113653903935,-0.0385153305624,0.0102795060378,0.0611872461703,0.00747393876319,0.00737784497227,0.00747349135751,0.0075712716989,0.755454149608,0.748491710652,0.755389113784,0.761949092583
91,0.0143404368844,-0.0334185041056,0.0151879425673,0.0639193576928,-57000,0.00740712837575,0.00716367892627,0.00740515162242,0.00766301316659,u.56001-57000,real,-56501,0.00747033597246,0.246416222192,0.239203955897,0.24647934062,0.253761333349,0.0073154260569,0.00747398935416,0.00762696347042,1309446,-56001,-0.00909836428363,-0.0518183837469,-0.00746402023403,0.0372460742646,0.0074914014256,0.00740695935943,0.00749020285609,0.00757771129028,0.753888712798,0.747040990878,0.753797469487,0.760140054381
92,0.0214657125157,0.00541160732712,0.0217605270771,0.0366951372703,-4000,0.00701160713598,0.00693485617024,0.00701146133024,0.00709687824944,u.3001-4000,real,-3501,0.00710217015644,0.251605702433,0.249234422262,0.251629743908,0.254122068703,0.00705000088545,0.00710262621172,0.00715048287346,11060533,-3001,-0.0311761110192,-0.0465487714742,-0.0313949273408,-0.0164134234391,0.00717126274974,0.00714298909061,0.00717234774938,0.00719990742492,0.748672940496,0.746372527471,0.748646693213,0.750948687511
93,-0.0418079906732,-0.0873455862518,-0.0429365103345,0.00648269142548,-55000,0.00758187317168,0.00734660067281,0.00758217256098,0.00783226907834,u.54001-55000,real,-54501,0.00739719235207,0.255680752554,0.248613001825,0.255807030349,0.262281186849,0.0072383531368,0.00739844300793,0.00754769281272,1370607,-54001,-0.0477254293811,-0.0914883885558,-0.0473847193349,-0.00515345681861,0.00750793454298,0.00742308780794,0.00751053349146,0.00758809350246,0.755899321688,0.748993085806,0.755917862127,0.76271361236
94,-0.0252151245214,-0.0799357135203,-0.024965533277,0.0314045268589,72000,0.00753921812772,0.00727871657934,0.00753938160777,0.00783631962588,d.71001-72000,real,71500,0.00742856293607,0.247892622981,0.239916708989,0.247613270256,0.255384891155,0.00725623328129,0.00742780740552,0.00762064497695,970410,71001,-0.012998822776,-0.06721649313,-0.0125377966696,0.040411998636,0.00745852791117,0.00736765086581,0.00745978246268,0.00756456897082,0.758683291508,0.751502366342,0.758967212616,0.766130453444
95,0.00765944383441,-0.0244841052246,0.00689523358879,0.0392929373134,-28000,0.00732674541219,0.00716190431227,0.00732903757763,0.00750814459887,u.27001-28000,real,-27501,0.00735996368275,0.255940073807,0.251077717034,0.256163524102,0.261069774801,0.0072556931349,0.00736253094944,0.00747046976465,2532656,-27001,-0.00505218721419,-0.0373471268535,-0.00575310923413,0.0263712832496,0.00737147331996,0.00731086931267,0.0073732623663,0.00743185414522,0.747438593486,0.742798976613,0.747560698846,0.752252319319
96,0.0125891201558,-0.0118175888921,0.0131164726396,0.0358277499415,-14000,0.00725420445363,0.00713038777062,0.00724792637016,0.00737977193907,u.13001-14000,real,-13501,0.00730843055489,0.252665381099,0.248915591931,0.25276727619,0.256422680466,0.00722514918393,0.00730569455436,0.0073930078872,4551753,-13001,-0.00574923114055,-0.0294592352096,-0.00596251995464,0.0191399927308,0.00732143902065,0.00727154839051,0.00731929714724,0.00736638814349,0.74960400007,0.746106297334,0.749543445307,0.752988769371
97,-0.00122866834261,-0.0413842030354,-0.000427633678065,0.0399162517624,41000,0.00744320189469,0.00722178945771,0.0074452004848,0.00764749033571,d.40001-41000,real,40500,0.00743782706962,0.250543303996,0.244535220857,0.250668751739,0.25672195531,0.00730044949441,0.00743614819615,0.00756919490275,1791172,40001,0.00111816942392,-0.0393835929672,0.00124155448844,0.0391901824344,0.00743525762724,0.00736071496898,0.00743295957444,0.00751198576676,0.752775915424,0.747007845995,0.752721774863,0.758726412478
