key,position,pi,pi_low,pi_up,xsi,xsi_low,xsi_up,pi2,pi2_low,pi2_up,fwh,fwh_low,fwh_up,thw,thw_low,thw_up,TD,TD_low,TD_up,sites
u.95001-96001,-96001,0.0077760692887,0.00757689706753,0.00801740982602,0.751768308813,0.741299675503,0.761890172048,0.289096319138,0.277466845503,0.29891567601,0.00788132010227,0.00756672265837,0.00815158943047,0.00792394280263,0.00776265765075,0.00808174239888,-0.0163029270354,-0.0747142038146,0.0463703271096,682180
d.65001-66001,65001,0.00785326494618,0.00767397277902,0.00802145633118,0.748062492556,0.741466123396,0.75570784547,0.291697115625,0.281403636211,0.300893801972,0.00786135823744,0.00758230274434,0.00815536555819,0.00796861636336,0.00780669359304,0.0081138850061,0.00153189876664,-0.0375936336404,0.0522271683898,1057406
d.60001-61001,60001,0.0079044997252,0.00770612675257,0.00811627223218,0.752471624423,0.7462906673,0.760619938018,0.295428826824,0.285716490929,0.304738864979,0.00809009177906,0.00785971614423,0.00836169132766,0.00799936159187,0.0078559014785,0.00815581373525,0.0126828298825,-0.0455974285313,0.059318070973,1190330
d.79001-80001,79001,0.00775290274878,0.00754402798399,0.00795312000672,0.752536652252,0.746568847946,0.762276092668,0.291206546723,0.280322704262,0.303323310438,0.00782354390444,0.00754327854187,0.0081561125761,0.00789972354572,0.00768229001625,0.00809798147344,-0.015979198523,-0.0719577028198,0.0261044966404,806001
u.45001-46001,-46001,0.0078351433565,0.00766746527124,0.00801187545783,0.748940851008,0.744406294455,0.754054136651,0.288919985086,0.281476880867,0.294920209062,0.00783654007882,0.00762973813569,0.0080968509679,0.0079275449924,0.00778322596923,0.00807333183507,0.0135476359879,-0.0287748146308,0.047994190153,1605262
u.53001-54001,-54001,0.00774452378392,0.00753942480311,0.00789924137215,0.745859482075,0.74009333387,0.753919640906,0.292161470021,0.284613873865,0.299094609407,0.00765809081885,0.00736530024554,0.00791998506544,0.00781712647682,0.00764833006679,0.00794456188838,0.0236379651026,-0.0276605334085,0.0735030167256,1415761
u.58001-59001,-59001,0.00753457240933,0.00732059897061,0.00769278108096,0.748154776461,0.740512034717,0.755182759916,0.293894344059,0.287178535692,0.300690063048,0.00758974573992,0.00733545884864,0.00791371226333,0.00768160551092,0.00753467992793,0.00782031142591,-0.018346159918,-0.0565065318637,0.0178198261068,1295439
d.48001-49001,48001,0.00783440714546,0.00762920149355,0.00803378904071,0.746606717104,0.740502371611,0.751834214836,0.288243919365,0.279261706202,0.299562296835,0.00782518204577,0.00759695786719,0.00819916777295,0.00787018372097,0.0077175550817,0.00799555782572,0.0438426634152,-0.00175201176654,0.100462074051,1500483
d.42001-43001,42001,0.00775315032698,0.00756552516361,0.00794518592073,0.754917766671,0.749131429148,0.760240778162,0.285854136668,0.277600809593,0.29528217958,0.00779585228993,0.00761501886293,0.00801222353178,0.00790846445807,0.00776393159201,0.00802670900314,-0.0204685923786,-0.0523662938606,0.0291761017687,1680189
u.92001-93001,-93001,0.00777386068617,0.00756353361836,0.00804934100159,0.754622609595,0.745330578512,0.763529388019,0.281149574697,0.269608895417,0.290980834903,0.00783131890284,0.00744141707409,0.00816259766508,0.00793552044449,0.00772701030278,0.00811426612918,-0.0235890589299,-0.0955029007321,0.0387893268405,713562
u.89001-90001,-90001,0.00764807189935,0.00739029531373,0.00792155230857,0.755497193568,0.745605237108,0.765435330989,0.285745045574,0.275535112615,0.296926872354,0.00781869770024,0.00743019501661,0.00823580805195,0.0078582126605,0.00767360855348,0.0080879914383,-0.0507294082974,-0.132711318116,0.0188006672112,741481
d.87001-88001,87001,0.00764148156269,0.00739371894126,0.0078997190989,0.747121013543,0.739335419015,0.755300627927,0.278656200892,0.265727610533,0.293140172008,0.00738650757873,0.00708840484392,0.0077632665797,0.00778034928741,0.0076012741861,0.00798374580514,-0.0128386209832,-0.0842380258424,0.0371378900627,695138
u.40001-41001,-41001,0.00770930508388,0.00753497821914,0.00783669880635,0.752302050739,0.746493960532,0.756915083328,0.286088746774,0.277545788665,0.29359613304,0.0076970510438,0.00745809126893,0.00793283263605,0.00786387945228,0.00774027296438,0.00799861413717,-0.0205422389509,-0.0576941360723,0.0219966157775,1766120
u.6001-7001,-7001,0.00762310030919,0.00753177475795,0.00770607082012,0.750738000604,0.748314169392,0.752978358952,0.288796542757,0.283689748006,0.291810503517,0.00759276309067,0.00746491191193,0.00769054124317,0.00773901239781,0.00768377276717,0.00780250428632,-0.000606744328119,-0.0203947637654,0.0138577736352,7212957
d.2001-3001,2001,0.00751048812876,0.0074567447423,0.00755621636714,0.749108682515,0.747111561354,0.751321881969,0.287447260558,0.284827337955,0.289756281561,0.00745057828363,0.00737385145825,0.00751866577227,0.00763404276698,0.00759244024537,0.00766821240302,-0.00575021490099,-0.0204596633535,0.00666359817744,13508719
d.45001-46001,45001,0.00776638387875,0.00763213539396,0.00799972678786,0.748449777613,0.741790068251,0.755871310026,0.28660377738,0.279715374547,0.293253765759,0.00763889680637,0.00742175376724,0.00785848122652,0.00786135902502,0.00770654554439,0.00799378214731,0.0117346077318,-0.0338052982998,0.0614266291879,1583401
u.70001-71001,-71001,0.00772269332336,0.00752934324102,0.00789546681378,0.751762697979,0.743081121208,0.759986815198,0.292401301028,0.282490188017,0.300684378719,0.0078442095483,0.00757175549565,0.00817024277208,0.00792992224125,0.00779180125179,0.00805740917938,-0.0481359953567,-0.113059245682,0.000339417854128,1016022
d.62001-63001,62001,0.00776054793621,0.00757415182999,0.00793762660044,0.751477716773,0.745269238053,0.757936433527,0.29339403541,0.283270153447,0.300988849589,0.00787311642045,0.00758784894076,0.00815798475856,0.00791039369885,0.00777728342842,0.00804860673213,-0.0175022142691,-0.0642815072006,0.0266053344339,1131849
d.31001-32001,31001,0.00770881598691,0.00758152514136,0.00784160273304,0.749323671498,0.7449961123,0.753236672626,0.28467088056,0.278861672254,0.291251600667,0.00762605034855,0.00745795252578,0.00783130143029,0.00776750662567,0.00768399762819,0.00787170328111,0.0310173805407,0.00160500283677,0.0652810831976,2223272
