Alleles Observed-SFS Expected
0 0.901445 0.901445
1 0.006850 0.006832
2 0.003420 0.003436
3 0.002195 0.002205
4 0.001579 0.001599
5 0.001259 0.001243
6 0.001022 0.001012
7 0.000867 0.000851
8 0.000732 0.000735
9 0.000649 0.000647
10 0.000560 0.000580
11 0.000531 0.000527
12 0.000498 0.000484
13 0.000451 0.000450
14 0.000407 0.000421
15 0.000392 0.000398
16 0.000381 0.000378
17 0.000354 0.000360
18 0.000343 0.000345
19 0.000341 0.000329
20 0.075723 0.075723
