label,mid,pi,xsi,pi2,fwh,theta_W,tajima,sites
real,-51.6016997235,0.00792957144562,0.750708693937,0.251583196109,0.0078948429195,0.00790595599609,0.00966539536001,3431023
real,-1335.28026816,0.00807777492995,0.748716783337,0.250224126569,0.00797575296851,0.00798702079405,0.0367653846766,1299863
real,5.42415812564,0.00767282111655,0.748853075369,0.248658606903,0.00751543241818,0.00777416254385,-0.0421798028196,2282431
real,117.093018161,0.00799392491195,0.753068716503,0.252890668723,0.0080622188183,0.00796184922222,0.0130359453633,4327549
real,20.6099065533,0.00767707359452,0.750248278048,0.247262593322,0.00753389736897,0.00774930909312,-0.0301621158468,2707312
real,-8.62561405638,0.00776223615047,0.752159264808,0.25107561933,0.00776384586403,0.00781383055296,-0.0213653327477,2261147
real,6.55198486837,0.00763948407053,0.756669595572,0.249943148183,0.0077455270158,0.00777709700829,-0.0572548182281,2184471
real,17.3826449866,0.00773728659346,0.754395810399,0.25209393712,0.00778321186391,0.00784976524614,-0.0463647367352,2714204
real,14.6373483554,0.00778065211941,0.750883349057,0.248351246593,0.00767867382077,0.00780899971446,-0.0117460999741,2497400
real,-965.958371707,0.00795334905162,0.756553323433,0.25281040688,0.00813981024509,0.00794942644284,0.00159666653916,2795604
real,890.836686213,0.00789872336676,0.753889716864,0.251626779086,0.00798255434724,0.00788844729518,0.00421514382575,3186939
real,1047.40774894,0.00796128366366,0.747244323158,0.25149664111,0.00781121661686,0.00790147562635,0.0244920448488,2589536
real,0.909763354201,0.00746595884576,0.751797456274,0.250722448652,0.00744933387392,0.00765769202639,-0.0810120395048,1108933
real,-264.123769987,0.00789486408646,0.7538459984,0.251079240907,0.00793124150466,0.00788926324936,0.00229719416537,4716958
real,0.761396427289,0.00736224676322,0.750056297111,0.247718591098,0.00716826964647,0.00760070793178,-0.101510517877,1045337
real,-24.4037469355,0.00791097118983,0.748678544098,0.251446840145,0.00781552728838,0.00785850656467,0.0216024359927,3056751
real,1135.71781557,0.00787357580102,0.753973453768,0.250728525571,0.0079097917874,0.0078811272974,-0.00310038238349,2187676
real,-162.197687298,0.00796246845285,0.749839389107,0.251466871428,0.00788918146189,0.00792613091663,0.0148345758052,4539122
real,-224.529718471,0.00796103890919,0.751421881844,0.255645174655,0.00804624625048,0.00792243337019,0.0157678475399,4789195
real,286.455823348,0.00779047537988,0.753047448634,0.245392238261,0.00772744165404,0.00782318569557,-0.0135295394872,5154028
real,-37.0636121971,0.00784467906183,0.751710339306,0.25285175467,0.00789348234178,0.00787812429602,-0.0137369039478,3349884
real,757.648222202,0.00796668404638,0.748830831116,0.253558177248,0.00791149523619,0.00797635668209,-0.0039239071496,3588272
real,-84.4544029964,0.007979172738,0.746488648078,0.253271162594,0.00785336519381,0.00790398403632,0.0307812259336,3925348
