,KZl,KZl_lower,KZl_median,KZl_upper,end,fwh,fwh_lower,fwh_median,fwh_upper,key,label,mid,pi,pi2,pi2_lower,pi2_median,pi2_upper,pi_lower,pi_median,pi_upper,start,tajima,tajima_lower,tajima_median,tajima_upper,theta_W,theta_W_lower,theta_W_median,theta_W_upper,xsi,xsi_lower,xsi_median,xsi_upper
80,0.0222832987341,0.0134674266889,0.0221164215858,0.0317496919327,-1000,0.00727002388872,0.00721780029273,0.00727031526302,0.00731999314802,u.1-1000,real,-501,0.00736972421397,0.24569627992,0.244272440858,0.245677319906,0.247119052902,0.00733620240215,0.00736991309898,0.0074039663421,-1,-0.100186154424,-0.109658756982,-0.100077924922,-0.0901923824773,0.00760519067666,0.00758628499948,0.00760505350055,0.00762364323247,0.753489486141,0.752151732144,0.75348912738,0.754915770077
81,-0.0118358609629,-0.071457182094,-0.0124954090964,0.0461526295147,-81000,0.00779129267602,0.00748085921819,0.00779385188514,0.00810517130327,u.80001-81000,real,-80501,0.00773692295701,0.250605259784,0.242406625694,0.250627913629,0.258790608627,0.00752669696789,0.00773443247712,0.00795196092974,-80001,-0.0291038599829,-0.0875433691805,-0.0291550636813,0.0320326217946,0.00780715031598,0.00769588098236,0.00780703913763,0.00791533177971,0.755275250455,0.746176480833,0.755260206154,0.763584376105
82,-0.0337410305464,-0.0979353478842,-0.0337700885241,0.0297182396689,98000,0.00782536994804,0.00748677422759,0.00783032175581,0.00818444344153,d.97001-98000,real,97500,0.00766956553723,0.244468841456,0.235037727521,0.24467280459,0.254191576676,0.00745498146837,0.00767163645583,0.00789057855431,97001,-0.0734193811099,-0.137727950223,-0.0729198421116,-0.014184778171,0.00784765119266,0.00772914791781,0.00784753016938,0.00797536206811,0.7629000899,0.753807627398,0.762914202268,0.771625417078
83,0.0218384663424,-0.0434633062079,0.0248929123002,0.0851706439735,93000,0.00790533740797,0.00754261405186,0.0078986666728,0.00830520526749,d.92001-93000,real,92500,0.00800710173742,0.25435172284,0.244436884154,0.254388576004,0.264800031949,0.00777696230222,0.0080135950287,0.00825880543643,92001,0.0357867825705,-0.031109210811,0.0370229152698,0.105689289082,0.00791950387043,0.00779393784875,0.0079233499331,0.00804969022226,0.744516787422,0.734704518713,0.743838139104,0.753688168757
84,0.00350465607649,-0.0245424086697,0.0042387264781,0.0303815051005,-19000,0.00775089994642,0.00761039330531,0.00774850653618,0.00789391542548,u.18001-19000,real,-18501,0.00776701241597,0.250383353992,0.246246723796,0.250411941012,0.254343429631,0.00766739586846,0.00776557329075,0.00785876420527,-18001,-0.019640473387,-0.0479677664459,-0.0201382059764,0.00640390414391,0.00781444445105,0.00776412763385,0.00781384520067,0.00786284831598,0.751363259354,0.747297861891,0.751328719626,0.755717250363
85,-0.0109904421242,-0.0292915940714,-0.011018817564,0.00899847123624,8000,0.00780686001594,0.007711363599,0.00780723348653,0.00791791598032,d.7001-8000,real,7500,0.00775641125917,0.252411518258,0.249575002934,0.252427173273,0.255376324229,0.00769364242923,0.0077572442552,0.00782754344028,7001,-0.019036576036,-0.0379826687488,-0.0182384806477,0.000841574761092,0.0078023128681,0.00776296939501,0.00780311417162,0.00784135375489,0.753398100131,0.750399871445,0.75333070195,0.755886376146
86,-0.0175032636767,-0.0650343971163,-0.0168313730297,0.0267956929949,-63000,0.00796595388376,0.0077101992441,0.00796301337085,0.00825032691183,u.62001-63000,real,-62501,0.00788459692646,0.252027257581,0.244033469514,0.251796257448,0.259781711791,0.00772564431034,0.00787546907264,0.0080497924094,-62001,-0.00631237816691,-0.0510716630479,-0.0083375029386,0.0415024080162,0.00790000927561,0.00781220605864,0.00789767354575,0.00799891211015,0.753989436584,0.747573600157,0.754249525976,0.76054706636
87,-0.0414858577121,-0.0988237911047,-0.04075672977,0.0140125359289,75000,0.00806423922497,0.00778782416704,0.00806168518194,0.00835728400546,d.74001-75000,real,74500,0.00787190247478,0.255586107876,0.24790698377,0.255559766634,0.263590359297,0.00769280785199,0.00787143848683,0.00804936910637,74001,-0.00316801580279,-0.0573472286422,-0.00432194373626,0.0490717856014,0.00787961770359,0.00778157240314,0.00788149374938,0.00797358403969,0.755055382406,0.747405801673,0.755135571739,0.762515567079
88,0.00178650296662,-0.0550817495636,0.00109283624894,0.0551167333111,-83000,0.00798569156766,0.0076790366767,0.00799013051798,0.00831690703574,u.82001-83000,real,-82501,0.00799403694388,0.259908722316,0.250297386039,0.260242316498,0.27001201414,0.00777172454662,0.00799103963987,0.00821199265178,-82001,0.0223454456165,-0.0392802557887,0.0216696106279,0.0816466508797,0.00793920550227,0.00782329893705,0.00793990720981,0.00805858525727,0.747057851682,0.739053629194,0.74695452193,0.755293540994
89,0.00882589594414,-0.0291409427498,0.00992852732763,0.0449996923177,36000,0.00797164310579,0.00776482505775,0.00796344118148,0.00817979366703,d.35001-36000,real,35500,0.00801272972776,0.256271566334,0.250570009701,0.256164642199,0.262128564936,0.00787589629748,0.00801108036021,0.00813974395717,35001,0.0409984604638,0.00440136078394,0.040196541719,0.0806545725948,0.00791247353401,0.00783950604495,0.00791326004751,0.00798619710686,0.747015771108,0.741854072856,0.747057814363,0.752198705127
90,0.035170422473,-0.00532284631366,0.0365403059033,0.07868578357,60000,0.00778756526743,0.00751756751296,0.00777822854901,0.00803010840318,d.59001-60000,real,59500,0.00794988385533,0.252991802151,0.245533900649,0.252959892438,0.26001765728,0.00775240080086,0.00794541294128,0.00812451201949,59001,0.0436213031431,-0.00782365958487,0.0422429824505,0.0911182919701,0.00784413158525,0.00774654100231,0.00784267990163,0.00792771522019,0.745269045615,0.738870447617,0.74515655991,0.751494858882
91,0.0147635417515,-0.0325699735548,0.0146189661554,0.0594014969109,-57000,0.00775513536376,0.00750936556734,0.00775674444575,0.00800484668838,u.56001-57000,real,-56501,0.00782297484592,0.252362819321,0.245469419715,0.252493214135,0.259682668573,0.00766482979723,0.00781843550795,0.0079838087624,-56001,0.00540322831707,-0.0406193024143,0.00499607856356,0.0499743109888,0.00780993279799,0.00772625261086,0.00780958050137,0.00790203979258,0.748364199328,0.742099998066,0.748409332899,0.755375747865
