label,key,start,mid,end,pi,xsi,pi2,fwh,theta_W,tajima,KZl,sites
real,d.65001-66000,65001,65500,66000,0.00773632892081,0.744889342224,0.25432395578,0.00761092451298,0.00772117214435,0.00635141406272,0.0276042531377,1014760
real,u.95001-96000,-95001,-95501,-96000,0.0078253624485,0.746147249424,0.263015974478,0.00787787480601,0.00773292693975,0.0386746911849,-0.0115411080238,755113
real,d.79001-80000,79001,79500,80000,0.00791744134171,0.756784853676,0.248836665494,0.00803285561768,0.00783756341544,0.032974751358,-0.0250272240133,798149
real,u.91001-92000,-91001,-91501,-92000,0.00779430092959,0.754702072726,0.255169026269,0.00799729162164,0.00776717795911,0.011298185047,-0.0444166533997,789072
real,u.53001-54000,-53001,-53501,-54000,0.00770385857738,0.750757951042,0.249082218133,0.00760528875604,0.00770916380648,-0.00222667413081,0.0217318923279,1447561
real,d.48001-49000,48001,48500,49000,0.00769274927823,0.751035535282,0.25076170458,0.0076258745465,0.00768102571609,0.00493851944169,0.0147978939251,1307644
real,u.58001-59000,-58001,-58501,-59000,0.00789343799007,0.750216718676,0.255329932281,0.00794567067066,0.00777774574852,0.0481291467238,-0.0114142415999,1341581
real,d.42001-43000,42001,42500,43000,0.00765050574933,0.748678090944,0.251597457815,0.00756358489309,0.00763248394527,0.00763997941618,0.0193561500027,1463554
real,u.89001-90000,-89001,-89501,-90000,0.0078393449446,0.751918471613,0.262228688712,0.00808033884108,0.00772769875399,0.0467444029482,-0.0530017441196,810620
real,u.92001-93000,-92001,-92501,-93000,0.00801094189882,0.746893676493,0.263308318439,0.0081134875913,0.00789357991008,0.0481048238832,-0.022078874052,783339
real,u.40001-41000,-40001,-40501,-41000,0.00776845438435,0.750791675194,0.257344464893,0.00783323301273,0.00773974528015,0.0120021812695,-0.014225716961,1903103
real,d.2001-3000,2001,2500,3000,0.00740606095087,0.751465554417,0.253195719643,0.00742686042767,0.00743513403045,-0.0126528676499,-0.00475504219482,12563420
real,u.6001-7000,-6001,-6501,-7000,0.0075037081398,0.751092687588,0.255021133658,0.00755122467486,0.0075127619377,-0.00389956222856,-0.0107506230188,7974447
real,d.45001-46000,45001,45500,46000,0.00773163441114,0.749587365232,0.250158531949,0.00766815337297,0.00768842107513,0.0181860848255,0.0140335116334,1395990
real,u.70001-71000,-70001,-70501,-71000,0.0076538323688,0.752751037447,0.246918263898,0.00758765747475,0.0076898744093,-0.015164892144,0.0146259166182,1077943
real,d.80001-81000,80001,80500,81000,0.0078225540067,0.756500704703,0.251915689747,0.00796869715366,0.00779540532694,0.0112679515793,-0.031861998961,790059
real,d.31001-32000,31001,31500,32000,0.00760466115667,0.751441247144,0.252959812009,0.00758637317022,0.00761377878099,-0.0038747956791,0.00408258182691,1948007
real,d.58001-59000,58001,58500,59000,0.00772791339619,0.748290620026,0.252879088594,0.00767304630426,0.00768668804992,0.0173530597156,0.0121317589839,1127765
real,d.37001-38000,37001,37500,38000,0.00746281109424,0.759077446573,0.248897182011,0.00758399256708,0.00759196874747,-0.0550463926289,-0.0271297860525,1649821
real,u.45001-46000,-45001,-45501,-46000,0.00784744242689,0.75067566497,0.255237838741,0.00793330816068,0.00775761626306,0.0374661103713,-0.0188129615056,1670913
real,d.43001-44000,43001,43500,44000,0.00782976001369,0.749254748329,0.249821419139,0.00777005449126,0.00773787361827,0.0384228314095,0.0131145594654,1441640
real,u.25001-26000,-25001,-25501,-26000,0.0077161753246,0.753014703244,0.25236283403,0.00778620036409,0.00769781433387,0.00771798828697,-0.015461945997,2966633
real,d.73001-74000,73001,73500,74000,0.00787004063022,0.751214197384,0.246018657519,0.00777372972809,0.00778953535774,0.0334389746802,0.0210137210887,872909
real,d.21001-22000,21001,21500,22000,0.00762705244705,0.75304387702,0.252245226279,0.00767588585393,0.00762893405997,-0.000798069463221,-0.0108800298518,2776411
real,d.28001-29000,28001,28500,29000,0.007632090385,0.746956945936,0.255740169715,0.0075703693856,0.00761677272508,0.00650715100301,0.0137731582063,2141838
real,u.26001-27000,-26001,-26501,-27000,0.00767121024677,0.753125227467,0.253759330423,0.00774583632057,0.00767803872837,-0.00287771975576,-0.0165202892602,2826292
