label,mid,pi,xsi,pi2,fwh,theta_W,tajima,sites
real,-51.6016997235,0.00731884130079,0.752916018712,0.248751014821,0.007275237643,0.00743015018307,-0.0484740706042,3501117
real,-1335.28026816,0.00761971026643,0.757925281215,0.256494616327,0.00790211158866,0.00770334227647,-0.0351277631336,1333629
real,5.42415812564,0.00701595882828,0.755412289667,0.250664725287,0.00706898787166,0.00722424236937,-0.0932893540211,2256306
real,117.093018161,0.00744387741272,0.751878754763,0.252533770799,0.00745281332812,0.00751967526126,-0.032616504422,4218255
real,20.6099065533,0.00719749943517,0.755220506418,0.243390011914,0.00714557942955,0.00732686129854,-0.0571297938637,2908446
real,-8.62561405638,0.00715322931592,0.747300664891,0.252098893043,0.00702801464714,0.0073006518508,-0.0653393066837,2583649
real,6.55198486837,0.00704691920529,0.7536689593,0.249845459635,0.0070440761789,0.00725945736365,-0.0947331673427,2230725
real,17.3826449866,0.00726709048132,0.743356631926,0.254091836414,0.00708855900089,0.00733286263005,-0.0290229772099,2753974
real,14.6373483554,0.00716630815856,0.750904054633,0.250000270382,0.00709753873701,0.00731793527764,-0.0670440075961,2489689
real,-22.4301642628,0.00725055985764,0.753596201937,0.244997430656,0.00717033341838,0.00735929103779,-0.0478070562295,2810417
real,890.836686213,0.00781621756141,0.74752334003,0.253493866943,0.00773413690659,0.00776832640302,0.0199481845787,2952681
real,1047.40774894,0.00778985003162,0.747744587894,0.248726383756,0.00761588614369,0.00773814931381,0.0216187952055,2402303
real,0.909763354201,0.0064089689775,0.753500903561,0.238423733991,0.00620233777546,0.00684074611245,-0.204224560008,1293362
real,-264.123769987,0.00756072477196,0.752291612317,0.254316326875,0.00760374717944,0.00760212610198,-0.0176222048851,4796638
real,0.761396427289,0.00653659914657,0.746862090867,0.248966943364,0.00632393056172,0.00690072488935,-0.170728101329,1176589
real,-24.4037469355,0.00722576316898,0.748539596807,0.253172382231,0.00716665736822,0.00734456947019,-0.0523417819608,3096102
real,1135.71781557,0.00768015345458,0.750833646991,0.246958748103,0.00753730386586,0.00773359366238,-0.0223592270724,2165275
real,-162.197687298,0.00757449936031,0.746302724475,0.252363724595,0.00744093834736,0.00757510711543,-0.000259609207817,4444036
real,-224.529718471,0.00767499282639,0.750318079303,0.252497474211,0.00764324384785,0.00765987636284,0.00638571527016,4804621
real,-7.87781314479,0.00707853342152,0.751408745482,0.250417612347,0.00702029821662,0.00727229497656,-0.0862119166386,2443760
real,40.2698076233,0.00728675240661,0.753328442445,0.245832913595,0.00722168971152,0.00740397610308,-0.0512303399532,3402694
real,757.648222202,0.00786427882457,0.749345954902,0.252078979001,0.00781571831487,0.00779708614217,0.0278847664207,3362732
real,-84.4544029964,0.00745654167219,0.746470432691,0.248800610565,0.00725340114515,0.00750878107322,-0.0225116516924,3862578
real,-13.4225039531,0.0071387818448,0.752620369101,0.252344000397,0.00714843648083,0.00728159097086,-0.0634602833915,2596071
real,310.668962691,0.00768765113861,0.754682071303,0.25529309842,0.00786252689675,0.00773410021015,-0.0194333558737,4493423
real,429.708391619,0.0077025598235,0.746151209097,0.255681313117,0.00762020390361,0.0076600004478,0.017978213901,4328988
real,-243.526663587,0.00757210900828,0.752402949396,0.251500123403,0.0075941473312,0.00761154971307,-0.0167668933086,4790431
real,-0.0842325581076,0.00604624632082,0.759118721269,0.236879100175,0.00586825849038,0.00660088657429,-0.271845076623,662725
real,-40.2698076233,0.00734739420616,0.752372679709,0.250039677091,0.00731212303299,0.00743258478816,-0.0370875482602,3287058
real,365.385640601,0.00768661397406,0.746868957019,0.256351567894,0.0076266045123,0.00766040978156,0.0110687671363,4495750
real,-1.07062760691,0.00654210037219,0.749493894008,0.238502336452,0.00624911088336,0.00688642702182,-0.161781493712,1296626
real,-14.6373483554,0.0072392185602,0.749605271573,0.255270753079,0.00724744344991,0.00732176158828,-0.0364785030672,2563270
real,66.0451105337,0.00745896048337,0.751504034274,0.256301512379,0.00754204836729,0.00748667065209,-0.0119764616655,3707961
real,18.9310621986,0.00724819525148,0.750301574805,0.251604738485,0.00724231312316,0.00734151470795,-0.0411301926102,2875946
real,4.04021298514,0.00693210241392,0.757324951853,0.248383646666,0.00700150174969,0.00717556098153,-0.10978370441,2191765
real,4.92507398676,0.00704072031821,0.749482188101,0.25366000148,0.00699389981515,0.00721012373842,-0.076023553232,2184234
