label,mid,pi,xsi,pi2,fwh,theta_W,tajima,sites
real,-365.385640601,0.00775008466386,0.757227094366,0.255280366416,0.00798817369972,0.00776590283713,-0.00659090555881,4545095
real,-51.6016997235,0.00759062558323,0.74725533761,0.25234061378,0.00747531357258,0.00753599233293,0.0234581727202,3540265
real,-1335.28026816,0.00780682932643,0.748826120442,0.25383417822,0.00777156711209,0.00777917808186,0.0115011002146,1372765
real,5.42415812564,0.00717306955387,0.751857705235,0.254515614726,0.00722215183956,0.00726232552464,-0.039767826469,2339171
real,117.093018161,0.00770075713569,0.751629498709,0.255318229822,0.0077699139435,0.00768965932929,0.00466992702389,4295662
real,-8.62561405638,0.00735111386049,0.755377900517,0.254672631818,0.00751792137362,0.00740978251419,-0.025619630093,2532683
real,6.55198486837,0.00741047117367,0.748329930769,0.253801461083,0.00732986929459,0.00742192924949,-0.00499534655989,2341634
real,17.3826449866,0.00746939114978,0.75001379621,0.252814032632,0.00742452754071,0.00747193286489,-0.00110069358448,2558309
real,14.6373483554,0.00734711773401,0.74484106529,0.250608955524,0.00714311473235,0.00732690078031,0.00892829134058,2672020
real,-965.958371707,0.00777058049583,0.751140040357,0.251092534631,0.00771996569351,0.00776681344657,0.0015693833554,2223492
real,890.836686213,0.00788492280926,0.745178055412,0.25365612919,0.0077697941237,0.00778149224608,0.0430092922841,3113940
real,1047.40774894,0.00775971488165,0.752148417283,0.254224302852,0.00781444774234,0.00777418193641,-0.00602141193729,2513491
real,0.909763354201,0.00709282450655,0.750596850758,0.25563497059,0.00716490262145,0.0071273973602,-0.0156948834566,1310577
real,-264.123769987,0.00779337618069,0.750385020257,0.252517529501,0.00779196850794,0.00773542384519,0.0242419318367,4419069
real,0.761396427289,0.00693107712284,0.752644427905,0.241445603966,0.0068197977197,0.00705011440969,-0.0546302066301,1090627
real,-24.4037469355,0.00738335022916,0.749145984515,0.253479022168,0.0073725425739,0.00740768585149,-0.0106300567989,3135001
real,1135.71781557,0.00786343940235,0.747947764796,0.250102908538,0.00773492416213,0.00780345125511,0.0248741781214,2147484
real,-162.197687298,0.00771056866829,0.749425472709,0.254265538152,0.00769221992554,0.00767281927021,0.015919739561,4689177
real,-224.529718471,0.00774405027178,0.750299129432,0.252018135749,0.00771885586098,0.00768961907601,0.0229046245029,4328323
real,286.455823348,0.00780049830466,0.749405328143,0.24878777514,0.00769419400689,0.00773642232064,0.0268000763322,4660288
real,-37.0636121971,0.00754229644119,0.747719347117,0.254816901315,0.00749749666944,0.00750083923564,0.017884095035,3350717
real,757.648222202,0.0077809149598,0.750947681937,0.250690646581,0.00773335983385,0.00774590777584,0.0146238801186,3491958
real,-84.4544029964,0.00764151206438,0.749080865227,0.250289951377,0.00756487920432,0.00759180268495,0.0211871414283,3927836
real,-13.4225039531,0.00716900240086,0.754237322018,0.246570062728,0.00714210390402,0.00731495223141,-0.0645600861654,2538585
real,310.668962691,0.00783196211901,0.747381927142,0.260356536184,0.00789987688463,0.00771190197404,0.0503753424195,4546673
real,429.708391619,0.00784163777112,0.748556683747,0.255905528083,0.00784115244039,0.00774995783331,0.038278523632,4328810
real,-243.526663587,0.00771858234923,0.75208506907,0.251585507855,0.00772686038007,0.00770634496711,0.0051383129648,4471471
