,fwh,fwh_lower,fwh_median,fwh_upper,label,mid,pi,pi2,pi2_lower,pi2_median,pi2_upper,pi_lower,pi_median,pi_upper,sites,tajima,tajima_lower,tajima_median,tajima_upper,theta_W,theta_W_lower,theta_W_median,theta_W_upper,xsi,xsi_lower,xsi_median,xsi_upper
159,0.00648092632271,0.00627249258746,0.00647954913342,0.00669238467944,real,-1.86148700375,0.00660270938781,0.246866901644,0.239918633393,0.246843748944,0.253351199089,0.00645246125912,0.00659820257302,0.00675173187557,1661696,-0.156582895848,-0.206723244491,-0.157821178112,-0.106261044562,0.00693848422713,0.00686192108823,0.00693653886754,0.00701908077671,0.752250266185,0.745076480597,0.75252150973,0.759008570804
160,0.00711915809796,0.00692913863081,0.0071202811874,0.00731198116191,real,-4.92507398676,0.00700184267493,0.253497286382,0.247992411141,0.253449186107,0.259261423648,0.00688147596136,0.0070057130072,0.0071234180275,2174627,-0.0767579033807,-0.114813640057,-0.0772642293266,-0.0394804516744,0.00717197762319,0.00710700360009,0.00717426932767,0.00723674985379,0.753747254036,0.748252881835,0.753724459288,0.759673350697
161,0.00695600328935,0.00678143711062,0.00695412300453,0.00714386541265,real,-4.04021298514,0.00695488005895,0.250406195994,0.24535995045,0.250420589889,0.255970127587,0.00683258238557,0.0069587933985,0.00707130082784,2228497,-0.100782027638,-0.13647812655,-0.098632358858,-0.0635913324214,0.00717846663925,0.00710734560445,0.0071770412936,0.00724649372932,0.753826804188,0.748602217815,0.753607473206,0.759018890346
162,0.00722410529884,0.00707114342345,0.00722492659582,0.00737965270416,real,-18.9310621986,0.00730781397143,0.253844867175,0.248910511016,0.25384194219,0.258636460936,0.00719356305617,0.00730688503578,0.0074143996447,2786772,-0.0267089545691,-0.0586557121602,-0.0273781770821,0.0046105344586,0.00736863731783,0.00730999141291,0.00736978236656,0.00743039797894,0.747103947104,0.742504393592,0.747161732433,0.752055471029
163,0.00633761213987,0.00611020242578,0.00633373651069,0.00655630032641,real,1.63918195626,0.00648536066201,0.242386490868,0.235157195763,0.242417854646,0.249167199022,0.00635501017878,0.00648056699964,0.00662998222154,1575536,-0.20739151105,-0.252934363177,-0.206781182787,-0.161708356271,0.00692951586362,0.00684638156764,0.00692529388552,0.00700784575323,0.755217238399,0.747398933486,0.754921346326,0.762225752466
164,0.00635455852029,0.00608423852279,0.00635420959671,0.00661251178365,real,1.07062760691,0.00645770835685,0.241662045725,0.233364695997,0.241629045495,0.249922862452,0.00630286400994,0.00645467447111,0.00662919351924,1353334,-0.215640728655,-0.267441328337,-0.215272003843,-0.165496273445,0.00691882319378,0.00683521555972,0.00691935424288,0.00700927357439,0.757414394341,0.749079725308,0.757491711508,0.765964875709
165,0.00776493935307,0.00764484913197,0.00776442964246,0.00789020382009,real,-365.385640601,0.00774732742997,0.253906242504,0.250310231783,0.253873768063,0.257514737358,0.00766048250185,0.0077476541693,0.00783041057166,4282486,0.0170336689462,-0.00745355908945,0.0167676696758,0.0416170657345,0.00770675790914,0.00766158468373,0.00770604671799,0.00775149297626,0.750139172203,0.746878729198,0.750218902379,0.75350281007
166,0.00780834594778,0.00768235257209,0.00780661226713,0.00793124956358,real,243.526663587,0.00774454191149,0.256014589851,0.252435123746,0.256020473759,0.259622939043,0.00766156921288,0.00774159281185,0.00782616809973,4714796,0.0235501138964,0.000441838267587,0.023563398284,0.0464590526677,0.0076885843951,0.00764630659839,0.00768743390134,0.00773476821628,0.750034603854,0.746545931589,0.74997598304,0.753274499039
167,0.00752423199291,0.00739629295232,0.00752392822566,0.00763966870594,real,-429.708391619,0.00762969797355,0.249848881577,0.246344260365,0.249903405057,0.253131013774,0.00754699035068,0.00762869448588,0.00770971860417,4594595,-0.0263870876967,-0.0497762139885,-0.0270185063661,-0.00354471321118,0.0076924278113,0.00764734962423,0.00769185032871,0.00773707911149,0.749486073466,0.745894856324,0.7496169545,0.753031796733
168,0.00759529797458,0.00747487723386,0.00759686552126,0.0077193053597,real,-310.668962691,0.00768483126966,0.250117635671,0.246406809644,0.250169909817,0.253844975649,0.00760612423856,0.00768331618032,0.00776623032017,4641101,0.00426888056966,-0.0188920277099,0.00454912938343,0.0270626918413,0.00767470627116,0.00762879982653,0.00767471800871,0.00771843002468,0.750177030973,0.746899506101,0.750203384762,0.753496377654
169,0.00702595710918,0.00685529225868,0.00702376951909,0.0071903129933,real,13.4225039531,0.00708657194146,0.24522041782,0.239941304746,0.245146303403,0.250333196352,0.00697880131977,0.0070875979341,0.00721300833908,2456584,-0.0773759255144,-0.11031379348,-0.0764449939054,-0.0397859038294,0.00726018496405,0.00719719153564,0.00726053007026,0.00732592359375,0.753132280919,0.747804711305,0.753123111262,0.758446385702
170,0.00755936798376,0.00742104949361,0.0075589531846,0.00770622161022,real,84.4544029964,0.00741790905733,0.251789465635,0.247841951565,0.251848295615,0.256043893306,0.00733362035373,0.00741713556476,0.00750112912842,3990704,-0.0587420489539,-0.0849353993267,-0.0587141586322,-0.0323394768204,0.00755506294302,0.00750803895203,0.00755418389603,0.00760328590932,0.757161349604,0.753537884072,0.757179461807,0.760883411205
171,0.00767395011153,0.00753484143187,0.00767175056485,0.0078195416275,real,-757.648222202,0.00764095760758,0.251525121189,0.247511275241,0.251496435851,0.255803209017,0.00754805263804,0.00764069706028,0.00772872158381,3348149,-0.0106652538273,-0.0363039528073,-0.0104479409526,0.0147140051829,0.00766622589006,0.00761252090524,0.00766561537042,0.00771544523255,0.753658846312,0.749785264839,0.753732809862,0.75758655572
172,0.00730841986544,0.00715678693744,0.00730987981629,0.00745752209116,real,37.0636121971,0.00725173951789,0.250826269221,0.246322288564,0.250711853774,0.255339009157,0.00715501266545,0.00725189258216,0.00734105594652,3372289,-0.0714762162485,-0.101308924726,-0.0702855726505,-0.0417925573269,0.00741554479298,0.00736086039681,0.00741507419816,0.0074652575448,0.754760317504,0.750674196499,0.754810860118,0.75874320345
173,0.00747423417389,0.00734199969851,0.00747386270356,0.00759688390664,real,137.825456779,0.00751803740024,0.250495645601,0.246819811172,0.250584470641,0.25404864116,0.00742901702653,0.00751791142424,0.00760363292886,4397097,-0.0184449647932,-0.0432110820549,-0.0182366241387,0.00447132306532,0.00756113815622,0.00751236460432,0.00756305509551,0.00760834900489,0.751449859355,0.747796417942,0.751513116458,0.754986383927
