,KZl,KZl_lower,KZl_median,KZl_upper,end,fwh,fwh_lower,fwh_median,fwh_upper,key,label,mid,pi,pi2,pi2_lower,pi2_median,pi2_upper,pi_lower,pi_median,pi_upper,sites,start,tajima,tajima_lower,tajima_median,tajima_upper,theta_W,theta_W_lower,theta_W_median,theta_W_upper,xsi,xsi_lower,xsi_median,xsi_upper
137,-0.0220900557188,-0.103035337555,-0.0192377180363,0.0533623367274,-97000,0.0060173306028,0.0057188995815,0.00600213554071,0.0063111805711,u.96001-97000,real,-96501,0.00594225484939,0.249354929261,0.238807417074,0.249399883094,0.259900502514,0.00575893490473,0.0059366820908,0.00613106442872,675844,-96001,0.0933253272311,0.0206050967819,0.0916176104911,0.161013313443,0.00577564634212,0.00566538141921,0.00577483980668,0.00588823730813,0.757164400162,0.746927363748,0.756986507135,0.766432594675
138,0.0592488177816,-0.0171856106326,0.0575872904174,0.133633808861,-100000,0.00562438051558,0.0053083134748,0.00563472994562,0.00594174263995,u.99001-100000,real,-99501,0.00582638194691,0.242394798796,0.231635605876,0.242606019036,0.254069537299,0.0056377725966,0.00582383454543,0.00603409137619,645536,-99001,0.0181579639562,-0.0496689233993,0.0161198194909,0.0889339986943,0.00579386301676,0.00567969261442,0.0057952515291,0.00592075516272,0.750648112029,0.739850496588,0.750724830166,0.762331402672
139,0.0129645100437,-0.0462429744953,0.0117980610265,0.0619304938131,-60000,0.00572665795484,0.00551522646904,0.00573015404934,0.00595796575238,u.59001-60000,real,-59501,0.00576979008476,0.250258399305,0.24298904474,0.250525707083,0.258818920378,0.00562374007739,0.0057702934697,0.00592599751833,1253838,-59001,0.0660303212544,0.0146264864087,0.0665678720274,0.120355896099,0.00565439499791,0.00556285081664,0.00565452919849,0.0057399555943,0.751307666279,0.743728266462,0.751391259383,0.758502010674
140,-0.00132789437763,-0.0415534441346,-0.00132905004722,0.0398520164507,33000,0.00572908603495,0.00557004860188,0.00573300760161,0.00589039890316,d.32001-33000,real,32500,0.00572472261919,0.252659309785,0.246298240925,0.252757976004,0.259101431737,0.00561487161089,0.00572561486798,0.00583421050518,2135020,32001,0.0809255974686,0.0420515354817,0.0802821171179,0.121587917839,0.00558503746562,0.00552115705992,0.00558674127933,0.00564904797771,0.751017971663,0.744966522912,0.75112392199,0.756526066648
141,0.00639646696213,-0.0154299358139,0.00644114130743,0.0275648699388,-8000,0.00525593076389,0.00517621248782,0.00525548219744,0.00534581107286,u.7001-8000,real,-7501,0.00527544118239,0.252497650129,0.248928330823,0.25253896326,0.255965295296,0.00522185668069,0.00527444911294,0.00533155269972,7002495,-7001,0.0567292264325,0.0341415921326,0.0566359645682,0.0769296617351,0.00518454687481,0.00514981828411,0.00518402088996,0.00521824312043,0.750234839816,0.74721106437,0.750228100831,0.753399278059
142,-0.00181507719769,-0.0302234890975,-0.00278783681549,0.0280937951846,14000,0.00543416453053,0.00532267136627,0.00543403355726,0.00554222220932,d.13001-14000,real,13500,0.00542847109038,0.252870007339,0.248656506273,0.252909485564,0.256931897899,0.00536177749669,0.00542742002099,0.00550311150139,4599563,13001,0.0587802019649,0.0313270583109,0.0588912804843,0.0876400169026,0.00533161796647,0.00528668973566,0.00533067136293,0.00537634732389,0.751338811751,0.747386527303,0.75135979367,0.755459104391
143,0.0259263309793,-0.0171512843265,0.0275072234798,0.0707653470602,51000,0.00568027517228,0.00549282075552,0.00567234762033,0.00587362694469,d.50001-51000,real,50500,0.0057661306452,0.251434293398,0.244378918558,0.251242058038,0.258878924868,0.00563890771715,0.00576697832875,0.00589847260081,1457629,50001,0.0792480570579,0.033839261841,0.0803282076737,0.126973297754,0.00562827791155,0.00554867885436,0.00562524898861,0.00570181529287,0.749914357948,0.743142108934,0.749726850842,0.756519981119
144,0.00184456783215,-0.0228276243981,0.00225681122164,0.0268651221623,10000,0.00535963034718,0.00525974953884,0.00535921833863,0.00546533465868,d.9001-10000,real,9500,0.00536534620745,0.251958687689,0.248526475488,0.252070640487,0.255805123049,0.00530212483137,0.00536540674375,0.00542757760138,5919595,9001,0.0603710692386,0.0373174735812,0.0607669396545,0.0860725997715,0.00526707663431,0.00522526948066,0.00526653701424,0.00530714689281,0.751734526634,0.747899371384,0.751637499585,0.754888538021
145,-0.0394010720049,-0.098188937594,-0.0405341973229,0.024787248487,-72000,0.00596722728385,0.00571682275757,0.00597362985045,0.00621631135629,u.71001-72000,real,-71501,0.00583394231311,0.252009644507,0.243108922969,0.252013579557,0.260469346681,0.00568365505101,0.00583601150552,0.00598561319704,1014101,-71001,0.0477235649266,-0.0100943823723,0.0487518906738,0.102970691108,0.00574914072572,0.00565939230172,0.00575075953081,0.0058402297159,0.757479015454,0.749159184708,0.757683496714,0.765174716014
146,-0.0142599109881,-0.0413670948458,-0.0133567813508,0.0178364209064,-17000,0.00551924404125,0.00540034385926,0.00551904978362,0.00563392639422,u.16001-17000,real,-16501,0.00547418969572,0.25528758029,0.25053413807,0.255118502218,0.259788841941,0.00539890577976,0.00547526249571,0.00555176138948,3838645,-16001,0.0626132143813,0.0339823514084,0.0635252037681,0.0933214821262,0.0053702722464,0.00532492835554,0.00536768181265,0.00541810056687,0.751693463291,0.747207062169,0.751640232447,0.755950354563
147,-0.0219127484567,-0.0560137911349,-0.0208847755708,0.0127213820974,-25000,0.00569538454648,0.00554872434664,0.00570024044762,0.00583457580606,u.24001-25000,real,-24501,0.00562487766838,0.254766230452,0.249436884662,0.254757080221,0.260385753222,0.00553655881015,0.0056267111515,0.00572279995533,2769857,-24001,0.0922507642247,0.0598607377881,0.0928087947735,0.126922792465,0.00546895597201,0.00541461114026,0.0054708304914,0.00552418957727,0.752391952739,0.747374882768,0.752179695637,0.757463598117
148,0.035254719542,0.00268015273297,0.035579981549,0.0674046405453,25000,0.00549574532529,0.00535714512266,0.00549589699711,0.00561470839425,d.24001-25000,real,24500,0.00560876323247,0.251923020694,0.246636222718,0.25200763946,0.256948607964,0.0055182466161,0.00560789327947,0.00569836296588,2797921,24001,0.094999083616,0.0626187262146,0.0949118479092,0.129305532159,0.00544878850643,0.00538916288182,0.00544773249913,0.00550231180913,0.74625502749,0.741719509409,0.746059230774,0.750514490047
