,fwh,fwh_lower,fwh_median,fwh_upper,label,mid,pi,pi2,pi2_lower,pi2_median,pi2_upper,pi_lower,pi_median,pi_upper,sites,tajima,tajima_lower,tajima_median,tajima_upper,theta_W,theta_W_lower,theta_W_median,theta_W_upper,xsi,xsi_lower,xsi_median,xsi_upper
75,0.00755987451664,0.0070011088159,0.00757608728817,0.0081650335914,real,-188.212805549,0.00794741689277,0.246487456839,0.228019606956,0.246657918533,0.266439734433,0.00762762318628,0.00794998307853,0.0083173214881,103082,0.108609191985,0.00107991082028,0.109248809997,0.209837032953,0.00768908319215,0.00746833708424,0.00769184072137,0.00792402362583,0.738670174332,0.725091197094,0.73881472057,0.75386982306
76,0.00745112623228,0.00736196240544,0.0074485307235,0.00754441371338,real,6.09134749809,0.00744190611406,0.252868558915,0.24975091556,0.25282325614,0.255990589454,0.00738176541332,0.00744179547003,0.00749586120337,4167934,-0.0263218891379,-0.0443178656442,-0.0265116913093,-0.00983242560008,0.00750293972221,0.00746892011784,0.0075025193267,0.00753862844299,0.751460686285,0.749084708459,0.751426230093,0.753798361865
77,0.00771768096772,0.00760889378939,0.0077177936257,0.00782285556811,real,21.4469559625,0.00768216711706,0.250770431997,0.247421324393,0.25087848347,0.254056661468,0.00762076785066,0.00768211696728,0.00774401622612,3326247,0.00354639584922,-0.0136119133381,0.00395968742075,0.0216049167494,0.00767375668659,0.00763277203624,0.00767321060961,0.00771338366381,0.75286256026,0.750250951998,0.752830473809,0.755526983412
78,0.00710593586647,0.00701413042183,0.0071081988168,0.00720265330853,real,-3.22217139002,0.00719083709687,0.248429311726,0.245227483082,0.248461673522,0.2520235143,0.00713593155038,0.00719100065397,0.00724751042844,4074649,-0.07780017136,-0.0945805039406,-0.07735892772,-0.0605518117574,0.00736799095882,0.00733361781572,0.00736807538779,0.00740431484528,0.751568367971,0.749049843875,0.751569001176,0.754292881409
79,0.00684693008619,0.00675119807722,0.00684735450537,0.00694488650959,real,-0.996444364655,0.00690777816595,0.247266451001,0.243636646769,0.247265505714,0.251147284184,0.00684958640219,0.00691149898163,0.00696928147839,3549504,-0.145294420392,-0.163576041486,-0.14445248441,-0.124396554915,0.0072325382063,0.00719260622902,0.00723338662409,0.00727072798757,0.754184373004,0.751476393649,0.754055632737,0.756911359609
80,0.0076213983652,0.00691384089878,0.00759175988637,0.0083628498584,real,-237.251839606,0.00790245219831,0.235640017669,0.213751261254,0.235386399486,0.257408462616,0.00749398981591,0.00788741828862,0.0083432115263,77852,0.037289416308,-0.0837559257668,0.0369553698009,0.157908686698,0.00781230853725,0.00754227113211,0.00780508250435,0.00808197245041,0.753459491425,0.736611086698,0.753224826956,0.769344659039
81,0.0068794764147,0.00678231172668,0.0068838289389,0.00697766246533,real,-1.82088783651,0.00697919975233,0.245631702056,0.242426046028,0.245704152387,0.248989203445,0.00692434313454,0.00698165864664,0.00703679212764,3791409,-0.127404418313,-0.144740530253,-0.127025718146,-0.108692217293,0.00726526010201,0.0072297467062,0.00726593526336,0.00730437639626,0.753505865105,0.750963359695,0.753537966655,0.755998417107
82,0.00771521433019,0.00748085454912,0.00772111640151,0.00794344955012,real,88.4688548766,0.00783509915846,0.247585231063,0.240330188024,0.247752767417,0.255205640766,0.00770136610737,0.00783431001019,0.00796765544275,660961,0.0188994817679,-0.0220643857123,0.0188717891304,0.057379102326,0.00778959608319,0.00769950798125,0.00778898112374,0.00787206950124,0.750414386325,0.745164830045,0.750314998114,0.756034142613
83,0.00748468189741,0.00702570875212,0.00748328829467,0.0079271296064,real,158.179165004,0.00767145243514,0.256888146775,0.241718243165,0.256398939174,0.271485984444,0.00739643490651,0.00767670770234,0.00794479343628,171803,0.0305884356676,-0.04928152772,0.0300698042575,0.11181149292,0.00759957091022,0.00742851413855,0.00759795272324,0.00777456614834,0.741856622307,0.732135531881,0.742095651255,0.751961247894
84,0.00688620115692,0.00678533848877,0.00688872388033,0.00698438820464,real,-1.66295841088,0.00697756453125,0.246474514249,0.24261447985,0.246404838647,0.249713459622,0.00692226730524,0.00697807488427,0.00703167464723,3735472,-0.119623876249,-0.137946542763,-0.11956907245,-0.101077738853,0.00724542201595,0.00720607520879,0.00724449948602,0.00728364405542,0.753154895119,0.750726655162,0.753253866462,0.75581779869
85,0.00770889835101,0.00734647406515,0.00769739013949,0.00806907453487,real,132.912747068,0.007871333004,0.261515878988,0.249004115125,0.261654456169,0.274133370289,0.00765316081721,0.00786923399954,0.00808873984714,284096,0.0264089635949,-0.0369334822035,0.0278902256001,0.0867500264948,0.00780759010083,0.00766798217004,0.00780306390144,0.00795058475077,0.742282200879,0.733737453946,0.74224860386,0.750898834953
86,0.00775453965087,0.00761098158321,0.00775713410326,0.00791191508379,real,-49.2872093387,0.00782461741307,0.249057741266,0.244407952939,0.248998124793,0.253686470341,0.00774011741644,0.00782690822503,0.00791883232031,1701448,0.0310304689078,0.00577429109093,0.0306672419506,0.0562972918719,0.00775029122437,0.00770038513123,0.00775112145482,0.00781012314308,0.750260442644,0.74655793924,0.750198194699,0.753926357379
87,0.00771350674983,0.00741723111071,0.0077141042264,0.00803220654463,real,118.338081152,0.00788808424567,0.258518289779,0.248072738838,0.258750622396,0.268488600092,0.00770808411892,0.0078861448254,0.00808656157621,356591,0.0656894601462,0.00835386257295,0.0659671597005,0.119678765632,0.00773109492269,0.00761806881129,0.00773231501904,0.0078515527866,0.741847603284,0.734807631173,0.74189937403,0.749093583331
88,0.00778455190461,0.00766213253405,0.00778863662822,0.00791221532346,real,32.5975411824,0.00778852062571,0.254927364957,0.250759298387,0.254978949014,0.258856797746,0.00771950599555,0.00778835359205,0.00785923305278,2555587,0.0265178551711,0.00654070005821,0.026731904191,0.0475031115337,0.00772521014606,0.00768022766977,0.0077238640156,0.00777044863202,0.749462134312,0.746730197778,0.749477112919,0.752195059223
89,0.00753834376709,0.00744748486611,0.00753683160878,0.00763255600827,real,8.45879775006,0.00750106301751,0.251269036238,0.248429865703,0.25116731459,0.254395054203,0.00744728334304,0.00750079580065,0.00755783782924,4174461,-0.0236219980662,-0.0398104873761,-0.0240345349087,-0.00697864207788,0.00755622526652,0.00751823726265,0.00755656945689,0.00759267207774,0.753077760468,0.750863971032,0.753138160179,0.755444579897
